Label,IATA,Latitude,Longitude,Country,Country_std
Goroka Airport,GKA,-6.081689835,145.3919983,Papua Niugini,Papua Niugini
Madang Airport,MAG,-5.207079887,145.7890015,Papua Niugini,Papua Niugini
Mount Hagen Kagamuga Airport,HGU,-5.826789856,144.2960052,Papua Niugini,Papua Niugini
Nadzab Airport,LAE,-6.569803,146.725977,Papua Niugini,Papua Niugini
Port Moresby Jacksons International Airport,POM,-9.443380356,147.2200012,Papua Niugini,Papua Niugini
Wewak International Airport,WWK,-3.583830118,143.6690063,Papua Niugini,Papua Niugini
Narsarsuaq Airport,UAK,61.16049957,-45.42599869,Kalaallit Nunaat,Kalaallit Nunaat
Godthaab / Nuuk Airport,GOH,64.19090271,-51.67810059,Kalaallit Nunaat,Kalaallit Nunaat
Kangerlussuaq Airport,SFJ,67.0122219,-50.71160316,Kalaallit Nunaat,Kalaallit Nunaat
Thule Air Base,THU,76.53119659,-68.70320129,Kalaallit Nunaat,Kalaallit Nunaat
Akureyri Airport,AEY,65.66000366,-18.0727005,Ísland,Ísland
Egilssta�ir Airport,EGS,65.28330231,-14.40139961,Ísland,Ísland
Hornafj�r�ur Airport,HFN,64.295601,-15.2272,Ísland,Ísland
H�sav�k Airport,HZK,65.952301,-17.426001,Ísland,Ísland
�safj�r�ur Airport,IFJ,66.05809784,-23.13529968,Ísland,Ísland
Keflavik International Airport,KEF,63.98500061,-22.60560036,Ísland,Ísland
Patreksfj�r�ur Airport,PFJ,65.555801,-23.965,Ísland,Ísland
Reykjavik Airport,RKV,64.12999725,-21.94059944,Ísland,Ísland
Siglufj�r�ur Airport,SIJ,66.133301,-18.9167,Ísland,Ísland
Vestmannaeyjar Airport,VEY,63.42430115,-20.27890015,Ísland,Ísland
Sault Ste Marie Airport,YAM,46.48500061,-84.50939941,Canada,Canada
St. Anthony Airport,YAY,51.39189911,-56.08309937,Canada,Canada
Tofino / Long Beach Airport,YAZ,49.079833,-125.775583,Canada,Canada
Kugaaruk Airport,YBB,68.534401,-89.808098,Canada,Canada
Baie Comeau Airport,YBC,49.13249969,-68.20439911,Canada,Canada
CFB Bagotville,YBG,48.33060074,-70.99639893,Canada,Canada
Baker Lake Airport,YBK,64.29889679,-96.07779694,Canada,Canada
Campbell River Airport,YBL,49.95080185,-125.2710037,Canada,Canada
Brandon Municipal Airport,YBR,49.91,-99.951897,Canada,Canada
Cambridge Bay Airport,YCB,69.10810089,-105.1380005,Canada,Canada
Nanaimo Airport,YCD,49.05497022,-123.8698626,Canada,Canada
Castlegar/West Kootenay Regional Airport,YCG,49.29639816,-117.6320038,Canada,Canada
Miramichi Airport,YCH,47.007801,-65.449203,Canada,Canada
Charlo Airport,YCL,47.990799,-66.330299,Canada,Canada
Kugluktuk Airport,YCO,67.816704,-115.143997,Canada,Canada
Coronation Airport,YCT,52.07500076,-111.4449997,Canada,Canada
Chilliwack Airport,YCW,49.15280151,-121.939003,Canada,Canada
Clyde River Airport,YCY,70.48609924,-68.51670074,Canada,Canada
Coral Harbour Airport,YZS,64.19329834,-83.35939789,Canada,Canada
Dawson City Airport,YDA,64.04309845,-139.128006,Canada,Canada
Burwash Airport,YDB,61.37110138,-139.0410004,Canada,Canada
Deer Lake Airport,YDF,49.21080017,-57.39139938,Canada,Canada
Dease Lake Airport,YDL,58.42219925,-130.0319977,Canada,Canada
Dauphin Barker Airport,YDN,51.10079956,-100.052002,Canada,Canada
Dawson Creek Airport,YDQ,55.74229813,-120.1829987,Canada,Canada
Edmonton International Airport,YEG,53.30970001,-113.5800018,Canada,Canada
Arviat Airport,YEK,61.09420013,-94.07080078,Canada,Canada
Estevan Airport,YEN,49.21030045,-102.9660034,Canada,Canada
Edson Airport,YET,53.57889938,-116.4649963,Canada,Canada
Eureka Airport,YEU,79.99469757,-85.81420136,Canada,Canada
Inuvik Mike Zubko Airport,YEV,68.30419922,-133.4830017,Canada,Canada
Iqaluit Airport,YFB,63.756402,-68.555801,Canada,Canada
