Departure,Destination,Weight_NumAirlines
AAE,ALG,1
AAE,CDG,1
AAE,ELU,1
AAE,IST,1
AAE,LYS,1
AAE,MRS,2
AAE,ORN,1
AAE,ORY,2
AAL,AAR,1
AAL,AGP,1
AAL,ALC,1
AAL,AMS,2
AAL,ARN,1
AAL,BCN,2
AAL,BLL,3
AAL,CPH,2
AAL,IST,1
AAL,LGW,1
AAL,OSL,3
AAL,PMI,1
AAL,SCR,1
AAL,SVG,1
AAN,CCJ,1
AAN,PEW,1
AAP,JOG,1
AAP,YIA,1
AAQ,DME,1
AAQ,LED,2
AAQ,OVB,1
AAQ,SVO,1
AAR,AAL,1
AAR,AGP,1
AAR,ARN,1
AAR,BLL,1
AAR,BMA,1
AAR,CPH,2
AAR,GOT,1
AAR,MAN,1
AAR,MUC,1
AAR,OSL,2
AAR,PMI,1
AAR,STN,1
AAT,CGO,1
AAT,FYN,1
AAT,KJI,1
AAT,KRY,1
AAT,URC,2
AAT,XIY,1
AAT,YIN,1
AAX,CNF,1
AAX,POJ,1
AAX,UBA,1
AAY,SAH,1
ABA,DME,1
ABA,IKT,1
ABA,NSK,1
ABA,OVB,1
ABA,SVO,1
ABB,ABV,1
ABB,LOS,1
ABD,MHD,2
ABD,SYZ,1
ABD,THR,3
ABE,ATL,3
ABE,CLT,2
ABE,DTW,1
ABE,MYR,1
ABE,ORD,2
ABE,PGD,1
ABE,PHL,2
ABE,PIE,1
ABE,SFB,1
ABI,DFW,2
ABI,MIA,1
ABI,ORD,1
ABI,PHL,1
ABJ,ABV,1
ABJ,ACC,8
ABJ,ADD,1
ABJ,ALG,1
ABJ,BKO,3
ABJ,BOY,1
ABJ,BRU,4
ABJ,BYK,1
ABJ,CDG,2
ABJ,CKY,2
ABJ,CMN,1
ABJ,COO,7
ABJ,DKR,3
ABJ,DLA,1
ABJ,DSS,4
ABJ,FIH,1
ABJ,FNA,2
ABJ,HGO,1
ABJ,IST,1
ABJ,JFK,1
ABJ,KEO,1
ABJ,LBV,1
ABJ,LFW,5
ABJ,LIS,1
ABJ,LOS,5
ABJ,MJC,1
ABJ,NBO,1
ABJ,NIM,1
ABJ,NSI,1
ABJ,ORY,1
ABJ,OUA,7
ABJ,PNR,1
ABJ,ROB,2
ABJ,SPY,1
ABJ,TUN,1
ABL,OTZ,2
ABL,SHG,2
ABM,CNS,2
ABM,HID,1
ABQ,ATL,5
ABQ,AUS,1
ABQ,BWI,1
ABQ,CID,1
ABQ,CLT,1
ABQ,CNM,2
ABQ,DAL,1
ABQ,DEN,3
ABQ,DFW,2
ABQ,HOU,1
ABQ,IAH,1
ABQ,JFK,1
ABQ,LAM,1
ABQ,LAS,2
ABQ,LAX,6
ABQ,MCI,2
ABQ,MDW,2
ABQ,MSP,1
ABQ,OAK,1
ABQ,ORD,3
ABQ,PDX,3
ABQ,PHX,3
ABQ,SAN,1
ABQ,SEA,2
ABQ,SFO,1
ABQ,SJC,1
ABQ,SLC,1
ABQ,SVC,1
ABR,MSP,1
ABS,ASW,1
ABS,CAI,1
ABT,DMM,1
ABT,JED,1
ABT,RUH,1
ABV,ABB,3
ABV,ABJ,1
ABV,ACC,1
ABV,ADD,1
ABV,AKR,1
ABV,BCU,1
ABV,BNI,2
ABV,CAI,1
ABV,CBQ,2
ABV,CDG,3
ABV,COO,1
ABV,DLA,1
ABV,ENU,2
ABV,FRA,1
ABV,GMO,1
ABV,IBA,2
ABV,ILR,2
ABV,IST,1
ABV,KAN,3
ABV,LFW,1
ABV,LHR,1
ABV,LOS,2
ABV,MIU,2
ABV,NDJ,2
ABV,NIM,1
ABV,PHC,7
ABV,QOW,3
ABV,QRW,1
ABV,QUO,2
ABV,SKO,1
ABV,SSG,1
ABV,YOL,3
ABX,MEL,1
ABX,SYD,3
ABY,ATL,4
ABZ,AMS,1
ABZ,BGO,2
ABZ,BHD,1
ABZ,BHX,2
ABZ,BRS,2
ABZ,CDG,3
ABZ,CPH,1
ABZ,DUB,1
ABZ,EBJ,2
ABZ,EMA,2
ABZ,FRA,1
ABZ,HAU,1
ABZ,HUY,1
ABZ,KOI,1
ABZ,KSU,1
ABZ,LBA,1
ABZ,LCY,1
ABZ,LGW,1
ABZ,LHR,5
ABZ,LSI,1
ABZ,LTN,1
ABZ,MAN,2
ABZ,MME,1
ABZ,NCL,2
ABZ,NWI,2
ABZ,OSL,3
ABZ,RIX,1
ABZ,SEN,1
ABZ,SVG,3
ABZ,SYY,1
ABZ,TFS,1
ABZ,WIC,1
ACA,DFW,1
ACA,IAH,1
ACA,MEX,3
ACA,MTY,1
ACA,TIJ,1
ACA,TLC,2
ACC,ABJ,10
ACC,ABV,3
ACC,ADD,1
ACC,AMS,1
ACC,BEY,2
ACC,BJL,1
ACC,BRU,2
ACC,CAI,1
ACC,CDG,1
ACC,CMN,1
ACC,COO,1
ACC,DKR,3
ACC,DXB,1
ACC,FCO,1
ACC,FNA,5
ACC,FRA,1
ACC,IAD,2
ACC,ISL,1
ACC,IST,1
ACC,JFK,1
ACC,JNB,1
ACC,KMS,4
ACC,LFW,3
ACC,LHR,2
ACC,LIS,1
ACC,LOS,6
ACC,MAD,1
ACC,MLW,1
ACC,MST,1
ACC,NBO,1
ACC,NYI,1
ACC,OUA,2
ACC,PHC,1
ACC,ROB,8
ACC,TKD,3
ACC,TML,3
ACC,TMS,1
ACC,WDH,1
ACE,AGP,1
ACE,AMS,1
ACE,BCN,3
ACE,BFS,3
ACE,BGY,1
ACE,BHX,6
ACE,BIO,3
ACE,BLK,1
ACE,BLQ,1
ACE,BOD,1
ACE,BOH,1
ACE,BRE,1
ACE,BRS,2
ACE,BRU,1
ACE,BVA,1
ACE,CGN,1
ACE,CRL,1
ACE,DUB,2
ACE,DUS,2
ACE,EDI,1
ACE,EIN,2
ACE,EMA,6
ACE,FCO,1
ACE,FKB,1
ACE,FRA,3
ACE,FUE,6
ACE,GLA,5
ACE,HAJ,2
ACE,HAM,2
ACE,HHN,1
ACE,LBA,3
ACE,LEJ,2
ACE,LGW,9
ACE,LPA,4
ACE,LPL,2
ACE,LTN,3
ACE,LUX,1
ACE,MAD,4
ACE,MAN,7
ACE,MUC,2
ACE,NCL,5
ACE,NOC,1
ACE,NRN,1
ACE,ORK,2
ACE,ORY,2
ACE,OSL,1
ACE,OVD,2
ACE,PAD,1
ACE,PIK,1
ACE,SCQ,3
ACE,SDR,1
ACE,SNN,2
ACE,STN,3
ACE,STR,2
ACE,SVQ,2
ACE,SXF,2
ACE,TFN,1
ACE,TXL,1
ACE,VLC,1
ACE,ZAZ,1
ACE,ZRH,4
ACH,EBA,1
ACH,VIE,1
ACI,GCI,1
ACI,SOU,1
ACK,BOS,1
ACK,EWB,1
ACK,HPN,1
ACK,HYA,1
ACK,JFK,1
ACK,MVY,1
ACK,TEB,1
ACR,LCR,1
ACR,SVI,1
ACT,DFW,2
ACU,PAC,1
ACV,CEC,1
ACV,PSP,1
ACV,SFO,1
ACV,SMF,1
ACX,CAN,1
ACX,CKG,1
ACX,KMG,1
ACX,KWE,1
ACX,NAY,2
ACX,NGB,1
ACX,PKX,2
ACX,PVG,2
ACX,WUH,1
ACX,XIY,1
ACY,BOS,1
ACY,DTW,1
ACY,EWR,1
ACY,FLL,1
ACY,IAH,1
ACY,IND,1
ACY,MCO,1
ACY,MYR,1
ACY,ORD,2
ACY,RSW,1
ACY,TPA,1
ACZ,MHD,1
ADA,ADB,2
ADA,AYT,2
